"Year","NSW","NT","QLD","SA","TAS","VIC","WA","ACT"
"2008",590408,23865,502886,119500,59962,1114036,228822,
"2009",513616,19893,475870,107676,67768,1136590,254858,
"2010",390746,26775,440622,91335,37376,1172460,300344,58705
"2011",389649,24633,588714,61859,24427,1151555,558552,56719
"2012",432586,27730,653679,54773,7410,1185037,588746,54201
"2013",426904,24536,762905,74391,7517,1015986,543491,51948
"2014",468465,22871,1004090,100562,9250,1307924,711518,45120
"2015",486571,24928,1076622,85282,15220,1306201,752276,50640
"2016",494676,22239,659305,182856,15977,1266642,567954,55750
"2017",731953,22556,733717,162804,13095,1220180,754183,52913
"2018",681389,37452,1021423,174731,8609,1600565,689198,66449
"2019",658793,39500,1041780,202914,6738,1004679,682996,59330
"2020",915316,40921,910858,175237,40751,937192,695586,57612
"2021",1452620,38648,978926,202693,39228,1231672,809544,113807
"2022",1217596,33642,849399,186196,42737,1378231,843541,
"2023",881483,43306,860626,203602,65040,1302628,807487,71961
"2024",905672,48055,794883,184581,74993,773470,472833,68846
