"Year","Jurisdiction","Total Fines","Driver License","Fines Per 10000 Driver License"
"2022","WA",843541,2078263,4058.8751279313537
"2021","WA",809544,2036282,3975.5986646250376
"2015","WA",752276,1928430,3900.976441976115
"2017","WA",754183,1965031,3838.0208760065366
"2023","WA",807487,2132257,3787.005975358505
"2014","WA",711518,1896560,3751.6239929134854
"2012","WA",588746,1623226,3627.0118886710784
"2021","ACT",113807,326454,3486.157314659952
"2018","WA",689198,1977775,3484.713883025117
"2011","WA",558552,1605793,3478.3561766678517
"2020","WA",695586,2013336,3454.892774976457
"2018","VIC",1600565,4665764,3430.445689066142
"2019","WA",682996,1992380,3428.0408355835734
"2015","QLD",1076622,3432171,3136.8541952018127
"2014","VIC",1307924,4310687,3034.142817606567
"2015","VIC",1306201,4384609,2979.0592502090835
"2014","QLD",1004090,3384271,2966.931430727622
"2010","VIC",1172460,3978322,2947.1219272849207
"2024","NT",48055,163416,2940.6545258726196
"2013","WA",543491,1854446,2930.745893921958
"2016","WA",567954,1952879,2908.2907850409574
"2012","VIC",1185037,4135725,2865.367015456782
"2011","VIC",1151555,4060582,2835.9358338287466
"2016","VIC",1266642,4474502,2830.799941535393
"2019","QLD",1041780,3719766,2800.6600415187404
"2018","QLD",1021423,3657643,2792.5716096404158
"2022","VIC",1378231,4968836,2773.7502304362633
"2023","NT",43306,161361,2683.795960610061
"2017","VIC",1220180,4565595,2672.5541796852326
"2020","NT",40921,157831,2592.70992390595
"2023","VIC",1302628,5097911,2555.219186839472
"2019","NT",39500,156344,2526.4800695901345
"2021","QLD",978926,3888986,2517.1754282478773
"2021","VIC",1231672,4895143,2516.110356735237
"2021","NSW",1452620,5775889,2514.9721540701353
"2021","NT",38648,159208,2427.5162052158184
"2013","VIC",1015986,4228230,2402.8636095955044
"2020","QLD",910858,3806397,2392.966366881857
"2018","NT",37452,157296,2380.98870918523
"2013","QLD",762905,3374824,2260.5771441710735
"2024","WA",472833,2194816,2154.317263952878
"2022","QLD",849399,3973138,2137.8542602849434
"2023","QLD",860626,4051724,2124.0982850756864
"2019","VIC",1004679,4748539,2115.7644488125716
"2022","NT",33642,159063,2115.0110333641387
"2023","ACT",71961,341420,2107.6972643664694
"2017","QLD",733717,3580836,2049.010342836142
"2010","ACT",58705,287134,2044.515800984906
"2022","NSW",1217596,5960216,2042.8722717431715
"2010","NT",26775,132561,2019.824835358816
"2018","ACT",66449,330574,2010.109687997241
"2012","NT",27730,138077,2008.2997168246702
"2012","QLD",653679,3301004,1980.2429806204416
"2024","ACT",68846,347892,1978.9474894507491
"2020","VIC",937192,4807706,1949.353808240354
"2011","ACT",56719,294174,1928.076580527171
"2010","WA",300344,1566465,1917.336167740741
"2024","QLD",794883,4154952,1913.0979130444828
"2016","QLD",659305,3505706,1880.662554133176
"2011","NT",24633,133035,1851.617995264404
"2011","QLD",588714,3240939,1816.4920722049999
"2019","ACT",59330,329637,1799.8586323743998
"2012","ACT",54201,301841,1795.6805072869493
"2020","ACT",57612,326495,1764.5599473192544
"2024","TAS",74993,429865,1744.570969955684
"2016","ACT",55750,328377,1697.7437518462013
"2013","ACT",51948,307834,1687.532891103647
"2013","NT",24536,146404,1675.9104942487909
"2015","NT",24928,152268,1637.1135103895763
"2017","ACT",52913,324439,1630.9075049547064
"2015","ACT",50640,312267,1621.689131416384
"2020","NSW",915316,5648327,1620.5081610891152
"2019","SA",202914,1258216,1612.7119667847173
"2021","SA",202693,1294479,1565.8268693428013
"2023","TAS",65040,426528,1524.8705829394555
"2023","SA",203602,1340060,1519.3498798561259
"2014","NT",22871,150653,1518.1244316409231
"2016","SA",182856,1219494,1499.4415716682495
"2024","VIC",773470,5260408,1470.3612343377167
"2024","NSW",905672,6166226,1468.7622542540607
"2023","NSW",881483,6040358,1459.3224441332784
"2017","NT",22556,156344,1442.7160620170907
"2016","NT",22239,154405,1440.3030989929084
"2014","ACT",45120,314244,1435.826937029824
"2010","QLD",440622,3132341,1406.6859259576145
"2018","SA",174731,1246015,1402.3185916702446
"2022","SA",186196,1329139,1400.8768082194565
"2020","SA",175237,1271958,1377.6948609938377
"2024","SA",184581,1362548,1354.6752114420924
"2017","NSW",731953,5439711,1345.5733218180158
"2017","SA",162804,1232106,1321.3473516077352
"2018","NSW",681389,5529185,1232.3497947708388
"2019","NSW",658793,5606175,1175.120291464323
"2010","TAS",37376,363291,1028.8171190588262
"2022","TAS",42737,423676,1008.7189267270273
"2020","TAS",40751,406437,1002.6400155497654
"2021","TAS",39228,416263,942.3849825711148
