"Year","Jurisdiction","Camera Issued Fines","Police Issued Fines","Other Fines","Unknown Fines","Total Fines","Camera Percentage","Police Percentage","Other Percentage","Unknown Percentage","Primary Enforcement Method"
"2008","NSW",590408,0,0,0,590408,1,0,0,0,"Camera"
"2008","NT",23865,0,0,0,23865,1,0,0,0,"Camera"
"2008","QLD",502886,0,0,0,502886,1,0,0,0,"Camera"
"2008","SA",119500,0,0,0,119500,1,0,0,0,"Camera"
"2008","TAS",59962,0,0,0,59962,1,0,0,0,"Camera"
"2008","VIC",1114036,0,0,0,1114036,1,0,0,0,"Camera"
"2008","WA",228822,0,0,0,228822,1,0,0,0,"Camera"
"2009","NSW",513616,0,0,0,513616,1,0,0,0,"Camera"
"2009","NT",19893,0,0,0,19893,1,0,0,0,"Camera"
"2009","QLD",475870,0,0,0,475870,1,0,0,0,"Camera"
"2009","SA",107676,0,0,0,107676,1,0,0,0,"Camera"
"2009","TAS",67768,0,0,0,67768,1,0,0,0,"Camera"
"2009","VIC",1136590,0,0,0,1136590,1,0,0,0,"Camera"
"2009","WA",254858,0,0,0,254858,1,0,0,0,"Camera"
"2010","ACT",58705,0,0,0,58705,1,0,0,0,"Camera"
"2010","NSW",390746,0,0,0,390746,1,0,0,0,"Camera"
"2010","NT",26775,0,0,0,26775,1,0,0,0,"Camera"
"2010","QLD",440622,0,0,0,440622,1,0,0,0,"Camera"
"2010","SA",91335,0,0,0,91335,1,0,0,0,"Camera"
"2010","TAS",37376,0,0,0,37376,1,0,0,0,"Camera"
"2010","VIC",1172460,0,0,0,1172460,1,0,0,0,"Camera"
"2010","WA",300344,0,0,0,300344,1,0,0,0,"Camera"
"2011","ACT",56719,0,0,0,56719,1,0,0,0,"Camera"
"2011","NSW",389649,0,0,0,389649,1,0,0,0,"Camera"
"2011","NT",24633,0,0,0,24633,1,0,0,0,"Camera"
"2011","QLD",588714,0,0,0,588714,1,0,0,0,"Camera"
"2011","SA",61859,0,0,0,61859,1,0,0,0,"Camera"
"2011","TAS",24427,0,0,0,24427,1,0,0,0,"Camera"
"2011","VIC",1151555,0,0,0,1151555,1,0,0,0,"Camera"
"2011","WA",558552,0,0,0,558552,1,0,0,0,"Camera"
"2012","ACT",54201,0,0,0,54201,1,0,0,0,"Camera"
"2012","NSW",432586,0,0,0,432586,1,0,0,0,"Camera"
"2012","NT",27730,0,0,0,27730,1,0,0,0,"Camera"
"2012","QLD",653679,0,0,0,653679,1,0,0,0,"Camera"
"2012","SA",54773,0,0,0,54773,1,0,0,0,"Camera"
"2012","TAS",7410,0,0,0,7410,1,0,0,0,"Camera"
"2012","VIC",1185037,0,0,0,1185037,1,0,0,0,"Camera"
"2012","WA",588746,0,0,0,588746,1,0,0,0,"Camera"
